date;city;store;long;lat;value
01.06.2017;Hermosillo;Maven Toys Hermosillo 3;-110.954167;29.098889;768,49
01.06.2017;Chihuahua;Maven Toys Chihuahua 1;-106.08538;28.66703;804,45
01.06.2017;Toluca;Maven Toys Toluca 1;-99.6615;19.22035;217,75
01.06.2017;Puebla;Maven Toys Puebla 1;-98.20079;19.04177;177,81
01.06.2017;Pachuca;Maven Toys Pachuca 1;-98.72616;20.11397;349,84
01.06.2017;Santiago;Maven Toys Santiago 1;-100.14342;25.41685;1398,03
01.06.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 2;-99.13289;19.42295;522,56
01.06.2017;Chihuahua;Maven Toys Chihuahua 2;-106.08538;28.66703;234,8
01.06.2017;Puebla;Maven Toys Puebla 2;-98.20079;19.04177;64,87
01.06.2017;Monterrey;Maven Toys Monterrey 1;-100.33868;25.70575;130,67
01.06.2017;Xalapa;Maven Toys Xalapa 1;-96.92905;19.55327;251,77
01.06.2017;Hermosillo;Maven Toys Hermosillo 1;-110.954167;29.098889;83,88
01.06.2017;Guadalajara;Maven Toys Guadalajara 3;-103.33243;20.67306;554,63
01.06.2017;Saltillo;Maven Toys Saltillo 2;-101.01555;25.39332;47,88
01.06.2017;Xalapa;Maven Toys Xalapa 2;-96.92905;19.55327;305,77
01.06.2017;Villahermosa;Maven Toys Villahermosa 1;-92.92962;17.86316;567,62
01.06.2017;Saltillo;Maven Toys Saltillo 1;-101.01555;25.39332;217,76
01.06.2017;Monterrey;Maven Toys Monterrey 2;-100.33868;25.70575;59,95
01.06.2017;Mexicali;Maven Toys Mexicali 1;-115.44296;32.6149;487,61
01.06.2017;Guadalajara;Maven Toys Guadalajara 2;-103.33243;20.67306;208,85
01.06.2017;Hermosillo;Maven Toys Hermosillo 2;-110.954167;29.098889;176,81
01.06.2017;Monterrey;Maven Toys Monterrey 3;-100.33868;25.70575;276,8
01.06.2017;Zacatecas;Maven Toys Zacatecas 1;-102.57982;22.76495;26,91
01.06.2017;Chilpancingo;Maven Toys Chilpancingo 1;-99.51871;17.57329;44,97
01.06.2017;Culiacan;Maven Toys Culiacan 1;-107.40728;24.80802;143,91
